Device_Name,Model_Number,Manufacturer,Manual_Version,Publication_Date,Device_Class,Regulatory_Approval_ID,Patient_Population,Indications_for_Use,Contraindications,Sterilization_Method,Number_of_Warnings,Number_of_Cautions,Device_Lifetime_Years,Device_Weight_kg,Max_Operating_Temperature_C,Pub_Year,Device_Weight_kg_log,Publication_Year,Publication_Month,Publication_Day,Risk_Indicator,Device_Category,Year
Dialysis Machine,Max530,Convatec,v8.4,27-01-2022,Class III,TGA-966195,All,Used for long-term compression therapy delivery in ambulatory care settings for neurological disorders patients.,Contraindicated in presence of electromagnetic fields or strong magnetic fields exposure.,Steam Sterilization,7,12,10,97.45,24,2022,4.589548805,2022,1,27,19,Very Heavy,2022
Ultrasound Scanner,STR844,Stryker,Version 20,23-07-2024,Class III,IDE213403,Infant (0-2),Designed for wound irrigation optimization in chronic disease management programs.,Avoid use in patients with neurostimulators or penile implants. Not suitable for infectious disease isolation.,Not Applicable,5,13,3,3.58,29,2024,1.521698998,2024,7,23,18,Very Low,2024
Ventilator,Model 9445,Stryker,Rev. 4.7,1-12-2023,Class III,PMDA-782228,Adult (18-65),Used for radiation therapy guidance in oncology treatment centers for cancer patients.,Contraindicated in patients with severe anemia or frostbite risk.,Not Applicable,13,12,12,53.52,43,2023,3.998567607,2023,12,1,25,Very Heavy,2023
Digital Thermometer,X-5152,Boston Scientific,v3.1,17-04-2021,Class II,K191005,Adult,Designed for medication administration support in neonatal intensive care environments.,Not suitable for use during MRI scanning or CT scan.,Hydrogen Peroxide Plasma,5,15,6,0.26,19,2021,0.231111721,2021,4,17,20,Very Low,2021
Infusion Pump,Max461,Biomérieux,Version 19,10-06-2022,Class I,NMPA-721789,Adult and Pediatric,Used for radiation therapy administration in pediatric hospital units under specialist supervision.,Not recommended for use in geriatric patients or those with pregnancy.,Gamma Irradiation,11,13,9,1.84,34,2022,1.043804052,2022,6,10,24,Very Low,2022
Anesthesia Machine,Model 3085,Sonova,v6.2,6-09-2022,Class III,IDE414561,Pediatric,Designed for diagnostic assessment in patients with cardiac disorders under medical supervision.,Do not use if battery depletion is detected or quality control has expired.,Pre-Sterilized,8,16,10,93.61,45,2022,4.549763179,2022,9,6,24,Very Heavy,2022
CPAP Machine,Model 5893,Synthes,2024-08-S,16-05-2024,Class III,H286007,Adult,Indicated for emergency glucose levels stabilization in trauma center resuscitation rooms.,Do not use if malformations is present or incision is infected.,UV Sterilization,6,14,9,19.85,35,2024,3.037353948,2024,5,16,20,Low,2024
ECG Machine,Pro947,Waters Corporation,Version 9,21-02-2015,Class IIa,NDA981528,Adult and Pediatric,Intended for tissue regeneration therapy in intensive care unit environments for critically ill patients.,Contraindicated in patients with epilepsy or unable to follow instructions.,Hydrogen Peroxide Plasma,7,6,11,8.05,18,2015,2.202764758,2015,2,21,13,Very Low,2015
Pacemaker,GE 192,Ge Healthcare,Rev. 1.2,23-02-2020,Class III,CE5653,Pediatric (2-18),Indicated for real-time blood gas analysis assessment in emergency department triage protocols.,Do not use if structural defects is present or wound is infected.,Not Applicable,2,6,8,0.09,39,2020,0.086177696,2020,2,23,8,Very Low,2020
Pacemaker,Model 6755,Medtronic,Rev. 4.5,9-07-2018,Class II,UKCA61028,Adult (>65),Used for electrotherapy administration in pediatric hospital units under specialist supervision.,Do not use if battery depletion is detected or quality control has expired.,Chemical Sterilization,3,5,12,0.16,39,2018,0.148420005,2018,7,9,8,Very Low,2018
ECG Machine,Model 2864,Intuitive Surgical,Rev. 4.1,6-05-2024,Class IIb,PMDA-325582,Geriatric,Designed for home-based thermal therapy in stable pregnant patients with chronic cancer.,Not recommended in presence of severe diabetes or at open wounds locations.,Not Applicable,9,12,4,18.68,33,2024,2.979602892,2024,5,6,21,Low,2024
ECG Machine,Model 6588,Nipro Corporation,Version 20,26-09-2020,Class IIb,BLA322880,Neonatal,Intended for intubation delivery in palliative care settings for terminal patients.,"Not recommended during pregnancy, lactation, or in pediatric under 18 years.",Pre-Sterilized,9,15,15,11.6,35,2020,2.533696814,2020,9,26,24,Low,2020
Stent,CAR517,Cardinal Health,Rev. 5.8,12-02-2015,Class III,UKCA52412,Adult (>65),Intended for alarm management support in cardiac catheterization laboratory environments.,Avoid use if patient has bleeding disorders or history of embolism.,Dry Heat,9,15,11,0.07,37,2015,0.067658648,2015,2,12,24,Very Low,2015
Defibrillator,Model 6028,Cook Medical,2024-07-C,27-07-2024,Class I,Q490266,Adult,Intended for diagnostic assessment evaluation in rehabilitation medicine for orthopedic injuries recovery.,Contraindicated in presence of petroleum products or during ultrasound therapy.,Dry Heat,18,15,14,9.36,12,2024,2.337952237,2024,7,27,33,Very Low,2024
Defibrillator,Pro422,Steris,v10.8,26-10-2024,Class I,HDE694384,All,Designed for perioperative temperature management during endoscopic interventions.,Do not use if battery depletion is detected or routine maintenance has expired.,Hydrogen Peroxide Plasma,9,20,9,12.95,11,2024,2.635479508,2024,10,26,29,Low,2024
Catheter,Z-3594,Fresenius Medical Care,Version 10,30-08-2024,Class I,K766419,Pediatric,Indicated for routine alarm management screening in outpatient clinical facilities.,Not suitable for use during electrocoagulation or CT scan.,Single-Use Sterile,8,5,11,10.34,16,2024,2.428336298,2024,8,30,13,Low,2024
Dialysis Machine,AES810,Aesculap,2024-03-M,6-06-2022,Class I,K108071,Adult and Pediatric,Intended for monitoring and measuring oxygen saturation in substance abuse patients in hospital and clinical settings.,Do not use if battery depletion is detected or quality control has expired.,Not Applicable,10,14,9.758918071,108.59,31,2022,4.696746129,2022,6,6,24,Very Heavy,2022
Ultrasound Scanner,SYN506,Synthes,Rev. 2.6,2-12-2021,Class I,H603399,Adult (>65),Indicated for routine sterilization screening in outpatient clinical facilities.,Contraindicated in patients with coagulopathy or on petroleum products.,Dry Heat,9,4,10,2.76,39,2021,1.324418957,2021,12,2,13,Very Low,2021
Patient Monitor,ALC833,Alcon,Rev. 8.4,7-07-2023,Class IIa,UKCA62597,Adult and Pediatric,Designed for disease management assistance in geriatric care facilities for elderly patients.,Contraindicated in patients with acute myocardial infarction or severe renal insufficiency.,Dry Heat,12,18,9,4.1,14,2023,1.62924054,2023,7,7,30,Very Low,2023
Anesthesia Machine,C-8385,Edwards Lifesciences,Version 6,9-06-2017,Class III,HC-774670,Neonatal,Used for respiratory support guidance in oncology treatment centers for cancer patients.,Avoid use if patient has skin allergies or history of blood clots.,Ethylene Oxide (EtO),13,23,15,46.84,7,2017,3.86786211,2017,6,9,36,Very Heavy,2017
X-Ray Machine,X-4135,Getinge,Version 14,21-02-2018,Class II,D603213,Geriatric,Designed for blood transfusion facilitation in telemedicine and remote patient monitoring.,Contraindicated in presence of radio frequencies or MRI environments exposure.,Hydrogen Peroxide Plasma,4,8,3,12.03,30,2018,2.567254391,2018,2,21,12,Low,2018
Surgical Robot,Model 9792,Ge Healthcare,Version 18,1-03-2016,Class III,UKCA34185,Neonatal,Intended for alarm management support in cardiac catheterization laboratory environments.,Do not use during general anesthesia administration or in comatose.,Pre-Sterilized,9,29,11,13.55,23,2016,2.677590994,2016,3,1,38,Low,2016
Dialysis Machine,Model 9074,Baxter International,Version 19,4-02-2019,Class II,HDE841008,Neonatal,Used for cardiac therapy administration in pediatric hospital units under specialist supervision.,Do not use if battery depletion is detected or quality control has expired.,Chemical Sterilization,10,9,19,126.2,43,2019,4.845760651,2019,2,4,19,Very Heavy,2019
Blood Glucose Monitor,Plus509,Dexcom,Version 17,12-01-2022,Class II,HDE126606,Geriatric,Used for drug delivery guidance in oncology treatment centers for cancer patients.,Contraindicated in patients with bleeding disorders or unable to remain still.,Dry Heat,5,15,6,0.44,15,2022,0.364643114,2022,1,12,20,Very Low,2022
Patient Monitor,Model 8774,Intuitive Surgical,Version 9,21-02-2023,Class I,NMPA-821786,Pediatric,Indicated for routine documentation screening in outpatient clinical facilities.,Contraindicated in patients with pacemakers or on muscle relaxants.,Dry Heat,10,20,12,2.85,30,2023,1.348073148,2023,2,21,30,Very Low,2023
CPAP Machine,Model 672,Beckman Coulter,Version 10,11-12-2022,Class I,UKCA10375,All,Designed for home-based thermal therapy in stable dialysis-dependent patients with chronic orthopedic injuries.,Avoid use in patients with pulmonary edema or altered consciousness.,Autoclave,9,5,9.758918071,18.83,32,2022,2.987195943,2022,12,11,14,Low,2022
Electrosurgical Unit,Model 2704,Nipro Corporation,2023-07-R,5-10-2022,Class III,PMDA-208996,Adult (18-65),Indicated for routine specimen collection screening in outpatient clinical facilities.,Not recommended for use in pediatric patients or those with bleeding disorders.,Chemical Sterilization,16,22,11,9.12,34,2022,2.314513664,2022,10,5,38,Very Low,2022
Catheter,GET852,Getinge,v6.3,1-04-2015,Class IIa,Q267054,Neonatal,Used for intraoperative alarm management monitoring during complex orthopedic surgeries.,Avoid use in patients with autoimmune disorders or uncontrolled immunodeficiency.,Steam Sterilization,7,3,7,13.54,31,2015,2.676903472,2015,4,1,10,Low,2015
Ventilator,Model 2806,Synthes,v4.6,6-06-2016,Class I,PMDA-677782,Pediatric (2-18),Used for long-term thermal therapy delivery in ambulatory care settings for orthopedic injuries patients.,Contraindicated in patients with severe coagulopathy or uncontrolled malignant hyperthermia.,Not Applicable,24,30,15,78.9,9,2016,4.380775853,2016,6,6,54,Very Heavy,2016
Surgical Robot,Model 4528,Thermo Fisher Scientific,2023-08-S,28-08-2021,Class III,CE5166,Adult (18-65),Indicated for diagnostic patient positioning to assess chronic conditions in clinical environments.,Avoid use if patient has severe cardiac arrhythmias or is receiving adhesive compounds.,Not Applicable,20,22,12,15.74,18,2021,2.817801065,2021,8,28,42,Low,2021
Defibrillator,X-6474,Boston Scientific,v9.0,25-01-2023,Class I,TGA-911053,Infant (0-2),Intended for wound debridement delivery in palliative care settings for terminal patients.,Not recommended in presence of pacemakers or at infected areas locations.,Autoclave,15,18,13,7.44,27,2023,2.132982309,2023,1,25,33,Very Low,2023
Stent,Max828,Convatec,Rev. 6.3,15-07-2021,Class III,CE7219,Geriatric,Designed for surgical intervention facilitation in telemedicine and remote patient monitoring.,Avoid use in patients with malignant hyperthermia or altered consciousness.,Ethylene Oxide (EtO),7,12,7,0.02,38,2021,0.019802627,2021,7,15,19,Very Low,2021
Dialysis Machine,Model 1482,Cardinal Health,Version 10,16-09-2024,Class I,Q561549,Adult (18-65),Used for therapeutic fluid resuscitation in substance abuse patients requiring hemodialysis.,Avoid use if patient has severe cardiac arrhythmias or is receiving metallic particles.,Not Applicable,14,17,16,132.89,26.7,2024,4.897018567,2024,9,16,31,Very Heavy,2024
Infusion Pump,Model 8286,Danaher,2023-01-P,30-08-2015,Class I,BLA549349,Adult (18-65),Indicated for continuous glucose levels monitoring during emergency surgical procedures.,Not recommended for patients with respiratory failure or severe severe anemia.,Hydrogen Peroxide Plasma,6,12,5,3.06,17,2015,1.401182974,2015,8,30,18,Very Low,2015
Nebulizer,B-6811,Smith & Nephew,Version 9,21-09-2016,Class I,P562031,Adult and Pediatric,Intended for measurement verification in quality assurance and device validation protocols.,Contraindicated in patients with pulmonary edema or burns risk.,Gamma Irradiation,2,3,10,3.43,26,2016,1.488399584,2016,9,21,5,Very Low,2016
ECG Machine,BAX146,Baxter International,2020-09-P,17-08-2024,Class II,PMDA-546562,Geriatric,Designed for electrotherapy optimization in chronic disease management programs.,Contraindicated in presence of radio frequencies or MRI environments exposure.,Ethylene Oxide (EtO),2,3,12,8.11,17,2024,2.209372711,2024,8,17,5,Very Low,2024
Wound Care System,INT396,Intuitive Surgical,Version 1,1-09-2023,Class IIb,NDA977252,Infant (0-2),Intended for imaging verification in quality assurance and device validation protocols.,Not suitable for use during shock wave therapy or MRI.,UV Sterilization,4,10,3,10.95,25,2023,2.480731278,2023,9,1,14,Low,2023
Infusion Pump,A-7041,Olympus Corporation,Version 16,23-09-2015,Class IIa,IDE576610,Pediatric,Intended for assessment support in cardiac catheterization laboratory environments.,Not recommended for patients with uncontrolled seizures or severe acute myocardial infarction.,Autoclave,6,15,8,5.56,23,2015,1.880990603,2015,9,23,21,Very Low,2015
Defibrillator,KAR402,Karl Storz,2025-05-R,28-03-2019,Class IIa,Q538782,Adult (>65),Indicated for electrolyte balance surveillance in infection control protocols.,Avoid use if patient has stroke or is receiving cleaning solvents.,Chemical Sterilization,24,24,11,19,38,2019,2.995732274,2019,3,28,48,Low,2019
Digital Thermometer,A-2058,Ge Healthcare,v14.6,31-12-2020,Class III,NDA394767,Adult,Designed for compression therapy optimization in chronic disease management programs.,Avoid use if patient has pregnancy or is receiving alcohol-based solutions.,Gamma Irradiation,2,9,4,0.23,26.7,2020,0.207014169,2020,12,31,11,Very Low,2020
Insulin Pump,TER555,Terumo,Version 1,24-01-2020,Class III,CE5653,All,Indicated for respiratory rate surveillance in infection control protocols.,Do not use during general anesthesia administration or in comatose.,Pre-Sterilized,7,20,6,4.91,13,2020,1.776645831,2020,1,24,27,Very Low,2020
Infusion Pump,A-4274,Boston Scientific,2021-04-Q,24-04-2023,Class I,TGA-602237,All,Indicated for routine calibration screening in outpatient clinical facilities.,Avoid use in patients with heart valves or shunts. Not suitable for home use.,Autoclave,6,12,9.758918071,3.19,23,2023,1.432700734,2023,4,24,18,Very Low,2023
Nebulizer,3M 754,3M Healthcare,v8.4,11-04-2020,Class I,NMPA-371598,Adult,Intended for monitoring and measuring intracranial pressure in mentally impaired patients in hospital and clinical settings.,Avoid use if patient has hepatic dysfunction or is receiving vasoconstrictors.,Hydrogen Peroxide Plasma,2,11,6,3.09,23,2020,1.40854497,2020,4,11,13,Very Low,2020
Ventilator,IDE551,Idexx Laboratories,2021-12-M,16-04-2022,Class I,K615575,Adult (18-65),Used for emergency catheterization in acute neurological disorders situations requiring immediate care.,Not suitable for use in maintenance procedures with radiation or during chemical exposure areas.,Hydrogen Peroxide Plasma,11,27,17,31.62,6,2022,3.484925597,2022,4,16,38,Heavy,2022
Infusion Pump,Model 6599,Cardinal Health,Rev. 5.9,26-09-2024,Class IIa,P566260,Adult (18-65),Indicated for real-time intracranial pressure assessment in emergency department triage protocols.,Avoid use in patients with peripheral vascular disease or altered consciousness.,Gamma Irradiation,13,13,7,2.86,39,2024,1.350667183,2024,9,26,26,Very Low,2024
Ventilator,C-4904,Getinge,2022-12-R,27-03-2024,Class III,P963039,Pediatric,Used for long-term dialysis delivery in ambulatory care settings for stroke patients.,Do not use in patients with renal insufficiency. Contraindicated in patient transport.,UV Sterilization,17,21,16,17.94,23,2024,2.941276088,2024,3,27,38,Low,2024
Blood Glucose Monitor,COL285,Coloplast,2023-03-W,26-03-2025,Class III,D999013,Pediatric (2-18),Intended for surgical transplant procedures in operating room settings.,Do not use in combination with antibiotics or pain management modalities.,Pre-Sterilized,5,19,6,0.15,24,2025,0.139761942,2025,3,26,24,Very Low,2025
